x,y,z,yaw,velocity,change_flag
3.9793,1.2720,-1.3275,0.0193,0.333333,0
4.9791,1.2913,-1.3314,0.0193,0.333333,0
5.9789,1.3105,-1.3353,0.0193,0.333333,0
6.9787,1.3298,-1.3392,0.0193,0.333333,0
7.9785,1.3490,-1.3431,0.0193,0.333333,0
8.9783,1.3683,-1.3470,0.0193,0.333333,0
9.9781,1.3876,-1.3509,0.0193,0.333333,0
10.9779,1.4068,-1.3548,0.0193,0.333333,0
11.9777,1.4261,-1.3587,0.0193,0.333333,0
12.9776,1.4453,-1.3626,0.0193,0.333333,0
13.9774,1.4646,-1.3665,0.0193,0.333333,0
14.9772,1.4838,-1.3704,0.0193,0.333333,0
15.9770,1.5031,-1.3743,0.0193,0.333333,0
16.9768,1.5223,-1.3782,0.0193,0.333333,0
17.9766,1.5416,-1.3821,0.0193,0.333333,0
18.9764,1.5608,-1.3860,0.0193,0.333333,0
19.9762,1.5801,-1.3899,0.0193,0.333333,0
20.9760,1.5993,-1.3938,0.0193,0.333333,0
21.9758,1.6186,-1.3976,0.0193,0.333333,0
22.9756,1.6378,-1.4015,0.0193,0.333333,0
23.9754,1.6571,-1.4054,0.0193,0.333333,0
24.9752,1.6763,-1.4093,0.0193,0.333333,0
25.9750,1.6956,-1.4132,0.0193,0.333333,0
26.9749,1.7148,-1.4171,0.0193,0.333333,0
27.9747,1.7341,-1.4210,0.0193,0.333333,0
28.9745,1.7533,-1.4249,0.0193,0.333333,0
29.9743,1.7726,-1.4288,0.0193,0.333333,0
30.9741,1.7918,-1.4327,0.0193,0.333333,0
31.9739,1.8111,-1.4366,0.0193,0.333333,0
32.9737,1.8303,-1.4405,0.0193,0.333333,0
33.9735,1.8496,-1.4444,0.0193,0.333333,0
34.9733,1.8688,-1.4483,0.0193,0.333333,0
35.9731,1.8881,-1.4522,0.0193,0.333333,0
36.9729,1.9073,-1.4561,0.0193,0.333333,0
37.9727,1.9266,-1.4600,0.0193,0.333333,0
38.9725,1.9458,-1.4639,0.0193,0.333333,0
39.9723,1.9651,-1.4678,0.0193,0.333333,0
40.9722,1.9843,-1.4717,0.0193,0.333333,0
41.9720,2.0036,-1.4756,0.0193,0.333333,0
42.9718,2.0228,-1.4795,0.0193,0.333333,0
43.9716,2.0421,-1.4834,0.0193,0.333333,0
44.9714,2.0613,-1.4873,0.0193,0.333333,0
45.9712,2.0806,-1.4912,0.0193,0.333333,0
46.9710,2.0998,-1.4951,0.0193,0.333333,0
47.9708,2.1191,-1.4990,0.0193,0.333333,0
48.9706,2.1383,-1.5029,0.0193,0.333333,0
49.9187,2.1566,-1.5066,0.1628,0.333333,0
50.6661,2.2793,-1.5092,0.3583,0.333333,0
51.2663,2.5041,-1.5125,0.5132,0.333333,0
51.9063,2.8647,-1.5075,0.7792,0.333333,0
52.4123,3.3645,-1.5162,0.9592,0.333333,0
52.8078,3.9284,-1.5163,1.1750,0.333333,0
53.0807,4.5815,-1.5168,1.3956,0.333333,0
53.2055,5.2870,-1.5062,1.5715,0.333333,0
53.2051,5.9327,-1.5185,1.5677,0.333333,0
53.2074,6.6867,-1.5190,1.5897,0.333333,0
53.1885,7.6865,-1.5190,1.5897,0.333333,0
53.1697,8.6863,-1.5190,1.5897,0.333333,0
53.1508,9.6861,-1.5190,1.5897,0.333333,0
53.1319,10.6860,-1.5190,1.5897,0.333333,0
53.1130,11.6858,-1.5190,1.5897,0.333333,0
53.0942,12.6856,-1.5190,1.5897,0.333333,0
53.0753,13.6854,-1.5190,1.5897,0.333333,0
53.0564,14.6852,-1.5190,1.5897,0.333333,0
53.0375,15.6851,-1.5191,1.5897,0.333333,0
53.0187,16.6849,-1.5191,1.5897,0.333333,0
52.9998,17.6847,-1.5191,1.5897,0.333333,0
52.9809,18.6845,-1.5191,1.5897,0.333333,0
52.9621,19.6843,-1.5191,1.5897,0.333333,0
52.9432,20.6842,-1.5191,1.5897,0.333333,0
52.9243,21.6840,-1.5191,1.5897,0.333333,0
52.9054,22.6838,-1.5191,1.5897,0.333333,0
52.8866,23.6836,-1.5191,1.5897,0.333333,0
52.8677,24.6835,-1.5191,1.5897,0.333333,0
52.8488,25.6833,-1.5191,1.5897,0.333333,0
52.8300,26.6831,-1.5191,1.5897,0.333333,0
52.8111,27.6829,-1.5191,1.5897,0.333333,0
52.7922,28.6827,-1.5191,1.5897,0.333333,0
52.7733,29.6826,-1.5191,1.5897,0.333333,0
52.7545,30.6824,-1.5191,1.5897,0.333333,0
52.7356,31.6822,-1.5191,1.5897,0.333333,0
52.7167,32.6820,-1.5191,1.5897,0.333333,0
52.6978,33.6819,-1.5191,1.5897,0.333333,0
52.6790,34.6817,-1.5191,1.5897,0.333333,0
52.6601,35.6815,-1.5191,1.5897,0.333333,0
52.6412,36.6813,-1.5191,1.5897,0.333333,0
52.6224,37.6811,-1.5191,1.5897,0.333333,0
52.6035,38.6810,-1.5191,1.5897,0.333333,0
52.5846,39.6808,-1.5191,1.5897,0.333333,0
52.5657,40.6806,-1.5191,1.5897,0.333333,0
52.5469,41.6804,-1.5191,1.5897,0.333333,0
52.5280,42.6803,-1.5192,1.5897,0.333333,0
52.5091,43.6801,-1.5192,1.5897,0.333333,0
52.4902,44.6799,-1.5192,1.5897,0.333333,0
52.4714,45.6797,-1.5192,1.5897,0.333333,0
52.4525,46.6795,-1.5192,1.5897,0.333333,0
52.4336,47.6794,-1.5192,1.5897,0.333333,0
52.4148,48.6792,-1.5192,1.5897,0.333333,0
52.3959,49.6790,-1.5192,1.5897,0.333333,0
52.3770,50.6788,-1.5192,1.5897,0.333333,0
52.3584,51.6626,-1.5192,1.5897,0.333333,0
